Instance Size,vCPU,Memory,Storage,Network ,Bandwith,EBS Bandwidth,1 Year Price, 1 Year PPM ,3 Year Price, 3 Year PPM ,GPUs,CPU Credits Earned / Hr,Network Burst Bandwidth (Gbps)***,Accelerator Peer-to-Peer Bidirectional(Gbps),1080p60 Streams,4Kp60 Streams,GPU Peer to Peer,GPUDirect RDMA,EBS Burst Bandwidth (Mbps),Baseline Performance / vCPU,Logical Processors*,Trainium Accelerators,Inferentia2 Accelerators,Inferentia Accelerators,Qualcomm AI 100 Accelerators,FPGAs,Physical Cores,Cores,Accelerator Memory (GB),U30 Accelerators,Gaudi Accelerators,Accelerator Memory (GB),CPU Credits/hour,NVIDIA T4G Tensor Core GPU,GPU Memory (GiB),Inter-accelerator Interconnect,EFA Network Bandwidth (Gbps),Aggregate Disk Throughput (MiB/s)
m6i.32xlarge,128,512,EBS-Only,,50,40,4.213," $ 3,033.36 ",2.82742," $ 2,035.74 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6i.metal,128,512,EBS-Only,,50,40,4.213," $ 3,033.36 ",2.82742," $ 2,035.74 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
g5.12xlarge,48,192,1 x 3800 NVMe SSD,,40,16,4.16892," $ 3,001.62 ",2.77928," $ 2,001.08 ",4,,,,,,,,,,,,,,,,,,,,,,,,96,,,
i4i.16xlarge,64,512,4 x 3750 AWS Nitro SSD,,37.5,20,3.991," $ 2,873.52 ",2.766," $ 1,991.52 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6in.32xlarge,128,256,EBS-Only,,200****,100,4.90759," $ 3,533.46 ",2.75394," $ 1,982.84 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6in.metal,128,256,EBS-Only,,200****,100,4.90759," $ 3,533.46 ",2.75394," $ 1,982.84 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6in.24xlarge,96,384,EBS-Only,,150,75,4.55116," $ 3,276.84 ",2.68525," $ 1,933.38 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6idn.16xlarge,64,512,2x1900 NVMe SSD,,100,50,4.22793," $ 3,044.11 ",2.65256," $ 1,909.84 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5dn.24xlarge,96,384,4 x 900 NVMe SSD,,100,"19,000",4.453," $ 3,206.16 ",2.649," $ 1,907.28 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5dn.metal,96*,384,4 x 900 NVMe SSD,,100,"19,000",4.453," $ 3,206.16 ",2.649," $ 1,907.28 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6id.24xlarge,96,384,4x1425 NVMe SSD,,37.5,30,3.89258," $ 2,802.66 ",2.60098," $ 1,872.71 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6a.24xlarge,96,768,EBS-Only,,37.5,30,3.68069," $ 2,650.10 ",2.57648," $ 1,855.07 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5a.24xlarge,96,768,EBS-Only,20,,"13,570",3.678," $ 2,648.16 ",2.567," $ 1,848.24 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7a.24xlarge,96,384,EBS-Only,,37.5,30,3.81538," $ 2,747.07 ",2.56056," $ 1,843.60 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6a.32xlarge,128,512,EBS-Only,,50,40,3.7917," $ 2,730.02 ",2.54467," $ 1,832.16 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
i3.16xlarge,64,488,8 x 1900 NVMe SSD,25,,3.68,3.679," $ 2,648.88 ",2.525," $ 1,818.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
i3.metal,72**,512,8 x 1900 NVMe SSD,25,,3.68,3.679," $ 2,648.88 ",2.525," $ 1,818.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
i4g.16xlarge,64,512,"4 x 3,750 GB = 15,000 GB",,37.5,20,3.59166," $ 2,586.00 ",2.48936," $ 1,792.34 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5d.24xlarge,96,384,4 x 900 NVMe SSD,,25,"19,000",3.707," $ 2,669.04 ",2.477," $ 1,783.44 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5d.metal,96*,384,4 x 900 NVMe SSD,,25,"19,000",3.707," $ 2,669.04 ",2.477," $ 1,783.44 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
i3en.12xlarge,48,384,4 x 7500 NVMe SSD,,50,3.99,3.993," $ 2,874.96 ",2.467," $ 1,776.24 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2.8xlarge,36,244,24 x 2000 HDD,10 Gbps,,3.11,3.111," $ 2,239.92 ",2.426," $ 1,746.72 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
g3.16xlarge,64,488,,25,3.34,2.43,3.3404," $ 2,405.09 ",2.4252," $ 1,746.14 ",4,,,,,,,,,,,,,,,,,,,,,,,,32,,,
c6i.32xlarge,128,256,EBS-Only,,50,40,3.66912," $ 2,641.77 ",2.38336," $ 1,716.02 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6i.metal,128,256,EBS-Only,,50,40,3.66912," $ 2,641.77 ",2.38336," $ 1,716.02 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
inf1.24xlarge,96,192,EBS only,,100,19,3.193," $ 2,298.96 ",2.366," $ 1,703.52 ",,,,,,,,,,,,,,16,,,,,,,,,,,,Yes,,
r6in.16xlarge,64,512,EBS-Only,,100,50,3.77222," $ 2,716.00 ",2.36174," $ 1,700.45 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2iedn.8xlarge,32,"1,024",1 x 950 NVMe SSD,,25,20,4.60108," $ 3,312.78 ",2.33322," $ 1,679.92 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2idn.16xlarge,64,"1,024",1 x 1900 NVMe SSD,,50,40,4.60108," $ 3,312.78 ",2.33322," $ 1,679.92 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7a.16xlarge,64,512,EBS-Only,,25,20,3.29228," $ 2,370.44 ",2.3046," $ 1,659.31 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5n.24xlarge,96,384,EBS-Only,,100,"19,000",3.89," $ 2,800.80 ",2.295," $ 1,652.40 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5n.metal,96*,384,EBS-Only,,100,"19,000",3.89," $ 2,800.80 ",2.295," $ 1,652.40 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5dn.16xlarge,64,512,4 x 600 NVMe SSD,75,,"13,600",3.614," $ 2,602.08 ",2.268," $ 1,632.96 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5ad.24xlarge,96,384,4 x 900 NVMe SSD,,20,"13,570",3.392," $ 2,442.24 ",2.263," $ 1,629.36 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6id.16xlarge,64,512,2x1900 NVMe SSD,,25,20,3.27633," $ 2,358.96 ",2.25557," $ 1,624.01 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
x1e.8xlarge,32,976,1 x 960,Up to 10,"3,500",,4.413," $ 3,177.36 ",2.238," $ 1,611.36 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
x1.16xlarge,64,976,"1 x 1,920",10,"7,000",,4.411," $ 3,175.92 ",2.237," $ 1,610.64 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7i.24xlarge,96,384,EBS-Only,,37.5,30,3.31772," $ 2,388.76 ",2.22658," $ 1,603.14 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7i.metal-24xl,96,384,EBS-Only,,37.5,30,3.31772," $ 2,388.76 ",2.22658," $ 1,603.14 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7a.24xlarge,96,192,EBS-Only,,37.5,30,3.32295," $ 2,392.52 ",2.15849," $ 1,554.11 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5d.16xlarge,64,512,4 x 600 NVMe SSD,20,,"13,600",3.121," $ 2,247.12 ",2.153," $ 1,550.16 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6a.32xlarge,128,256,EBS-Only,,50,40,3.30221," $ 2,377.59 ",2.14502," $ 1,544.41 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6id.24xlarge,96,192,4x1425 NVMe SSD,,37.5,30,3.25987," $ 2,347.11 ",2.12386," $ 1,529.18 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5.24xlarge,96,384,EBS-Only,,25,"19,000",3.16," $ 2,275.20 ",2.121," $ 1,527.12 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5.metal,96*,384,EBS-Only,,25,"19,000",3.16," $ 2,275.20 ",2.121," $ 1,527.12 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6i.24xlarge,96,384,EBS-Only,,37.5,30,3.15975," $ 2,275.02 ",2.12056," $ 1,526.80 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
i4i.12xlarge,48,384,3 x 3750 AWS Nitro SSD,,28.12,15,2.993," $ 2,154.96 ",2.074," $ 1,493.28 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6in.24xlarge,96,192,EBS-Only,,150,75,3.68069," $ 2,650.10 ",2.06545," $ 1,487.12 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6idn.16xlarge,64,256,2x1900 NVMe SSD,,100,50,3.47304," $ 2,500.59 ",2.06536," $ 1,487.06 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
g4dn.16xlarge,64,256,1 x 900 NVMe SSD,50,,9.5,2.943," $ 2,118.96 ",2.047," $ 1,473.84 ",1,,,,,,,,,,,,,,,,,,,,,,,,16,,,
r7gd.16xlarge,64,512,2 x 1900 NVMe SSD,,30,20,2.9487," $ 2,123.06 ",2.03," $ 1,461.60 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5n.16xlarge,64,512,EBS Only,75,,"13,600",3.224," $ 2,321.28 ",2.019," $ 1,453.68 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5d.24xlarge,96,192,4 x 900 NVMe SSD,,25,"19,000",3.12," $ 2,246.40 ",2.019," $ 1,453.68 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5d.metal,96,192,4 x 900 NVMe SSD,,25,"19,000",3.12," $ 2,246.40 ",2.019," $ 1,453.68 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5b.16xlarge,64,512,EBS Only,20,,"40,000",3.2241216," $ 2,321.37 ",2.0185805," $ 1,453.38 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
g5.16xlarge,64,256,1 x 1900 NVMe SSD,,25,16,3.01056," $ 2,167.60 ",2.00704," $ 1,445.07 ",1,,,,,,,,,,,,,,,,,,,,,,,,24,,,
r7i.16xlarge,64,512,EBS-Only,,25,20,2.86276," $ 2,061.19 ",2.00393," $ 1,442.83 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6idn.12xlarge,48,384,2x1425 NVMe SSD,,75,37.5,3.17095," $ 2,283.08 ",1.98942," $ 1,432.38 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2gd.16xlarge,64,1024,2x1900 NVMe SSD,,25,19,3.6885," $ 2,655.72 ",1.988," $ 1,431.36 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2gd.metal,64,1024,2x1900 NVMe SSD,,25,19,3.6885," $ 2,655.72 ",1.988," $ 1,431.36 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5ad.16xlarge,64,512,4 x 600 NVMe SSD,12,,"9,500",2.847," $ 2,049.84 ",1.96," $ 1,411.20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
z1d.12xlarge,48,384,2 x 900 NVMe SSD,25,,3.03,3.031," $ 2,182.32 ",1.925," $ 1,386.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
z1d.metal,48*,384,2 x 900 NVMe SSD,25,,3.03,3.031," $ 2,182.32 ",1.925," $ 1,386.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r4.16xlarge,64,488,EBS-Only,25,,2.89,2.885," $ 2,077.20 ",1.9114," $ 1,376.21 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5.16xlarge,64,512,EBS Only,20,,"13,600",2.726," $ 1,962.72 ",1.909," $ 1,374.48 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6i.16xlarge,64,512,EBS-Only,,25,20,2.72644," $ 1,963.04 ",1.90851," $ 1,374.13 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6a.24xlarge,96,384,EBS-Only,,37.5,30,2.84377," $ 2,047.51 ",1.90851," $ 1,374.13 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
g4ad.16xlarge,64,256,1 x 2400 NVMe SSD,,25,6,2.44631," $ 1,761.34 ",1.90399," $ 1,370.87 ",4,,,,,,,,,,,,,,,,,,,,,,,,32,,,
m5a.24xlarge,96,384,EBS-Only,,20,"13,570",2.82," $ 2,030.40 ",1.893," $ 1,362.96 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
h1.16xlarge,64,256,8 x 2000 HDD,25,,,2.731," $ 1,966.32 ",1.887," $ 1,358.64 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3.8xlarge,32,256,24 x 2 HDD,,25,"5,000",2.81924," $ 2,029.85 ",1.87949," $ 1,353.23 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,600"
c7i.24xlarge,96,192,EBS-Only,,37.5,30,2.88945," $ 2,080.40 ",1.8769," $ 1,351.37 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7i.metal-24xl,96,192,EBS-Only,,37.5,30,2.88945," $ 2,080.40 ",1.8769," $ 1,351.37 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5zn.12xlarge,48,192,EBS-Only,,100,"19,000",2.7971," $ 2,013.91 ",1.8647," $ 1,342.58 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5zn.metal,48,192,EBS-Only,,100,"19,000",2.7971," $ 2,013.91 ",1.8647," $ 1,342.58 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
g4dn.12xlarge,48,192,1 x 900 NVMe SSD,50,,9.5,2.645," $ 1,904.40 ",1.84," $ 1,324.80 ",4,,,,,,,,,,,,,,,,,,,,,,,,64,,,
c5ad.24xlarge,96,192,2 x 1900 NVMe SSD,,20,"9,500",2.787," $ 2,006.64 ",1.812," $ 1,304.64 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6in.16xlarge,64,256,EBS-Only,,100,50,3.03411," $ 2,184.56 ",1.79016," $ 1,288.92 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6i.24xlarge,96,192,EBS-Only,,37.5,30,2.75184," $ 1,981.32 ",1.78752," $ 1,287.01 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5.24xlarge,96,192,EBS-Only,,25,"19,000",2.759," $ 1,986.48 ",1.787," $ 1,286.64 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5.metal,96,192,EBS-Only,,25,"19,000",2.759," $ 1,986.48 ",1.787," $ 1,286.64 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6in.12xlarge,48,384,EBS-Only,,75,37.5,2.82917," $ 2,037.00 ",1.7713," $ 1,275.34 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5dn.16xlarge,64,256,4 x 600 NVMe SSD,,75,"13,600",2.968," $ 2,136.96 ",1.766," $ 1,271.52 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6id.16xlarge,64,256,2x1900 NVMe SSD,,25,20,2.59506," $ 1,868.44 ",1.73399," $ 1,248.47 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7a.12xlarge,48,384,EBS-Only,,18.75,15,2.46921," $ 1,777.83 ",1.72845," $ 1,244.48 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6a.16xlarge,64,512,EBS-Only,,25,20,2.45379," $ 1,766.73 ",1.71766," $ 1,236.72 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6gd.16xlarge,64,512,2 x 1900 NVMe SSD,,25,"19,000",2.5032," $ 1,802.30 ",1.7142," $ 1,234.22 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6gd.metal,64,512,2 x 1900 NVMe SSD,,25,"19,000",2.5032," $ 1,802.30 ",1.7142," $ 1,234.22 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5a.16xlarge,64,512,EBS-Only,12,,"9,500",2.452," $ 1,765.44 ",1.712," $ 1,232.64 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7a.16xlarge,64,256,EBS-Only,,25,20,2.54359," $ 1,831.38 ",1.70704," $ 1,229.07 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5dn.12xlarge,48,384,2 x 900 NVMe SSD,50,,"9,500",2.71," $ 1,951.20 ",1.701," $ 1,224.72 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
hpc6a.48xlarge,,384,25,,100,,2.54016," $ 1,828.92 ",1.69344," $ 1,219.28 ",,,,,,,,,,,,,,,,,,96,,,,,,,,,2.54,
r6id.12xlarge,48,384,2x1425 NVMe SSD,,18.75,15,2.45725," $ 1,769.22 ",1.69167," $ 1,218.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5d.16xlarge,64,256,4 x 600 NVMe SSD,,20,"13,600",2.471," $ 1,779.12 ",1.651," $ 1,188.72 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
p3.2xlarge,8,61,EBS-Only,Up to 10,-,1.5,2.243," $ 1,614.96 ",1.628," $ 1,172.16 ",1,,,,,,,,,,,,,,,,,,,,,,,,16,,,
r7g.16xlarge,64,512,EBS-Only,,30,20,2.3175," $ 1,668.60 ",1.6223," $ 1,168.06 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7g.metal,64,512,EBS-Only,,30,20,2.3175," $ 1,668.60 ",1.6223," $ 1,168.06 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5a.24xlarge,96,192,EBS-Only,,20,"9,500",2.506," $ 1,804.32 ",1.619," $ 1,165.68 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5d.12xlarge,48,384,2 x 900 NVMe SSD,10,,"9,500",2.341," $ 1,685.52 ",1.615," $ 1,162.80 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6a.24xlarge,96,192,EBS-Only,,37.5,30,2.47666," $ 1,783.20 ",1.60877," $ 1,158.31 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7gd.16xlarge,64,256,2 x 1900 NVMe SSD,,30,20,2.3356," $ 1,681.63 ",1.5606," $ 1,123.63 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6idn.12xlarge,48,192,2x1425 NVMe SSD,,75,37.5,2.60478," $ 1,875.44 ",1.54902," $ 1,115.29 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5n.16xlarge,64,256,EBS Only,,75,"13,600",2.594," $ 1,867.68 ",1.53," $ 1,101.60 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7gd.12xlarge,48,384,2 x 1425 NVMe SSD,,22.5,15,2.2115," $ 1,592.28 ",1.5225," $ 1,096.20 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6g.16xlarge,64,512,EBS-Only,,25,19000,2.1701," $ 1,562.47 ",1.5164," $ 1,091.81 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6g.metal,64,512,EBS-Only,,25,19000,2.1701," $ 1,562.47 ",1.5164," $ 1,091.81 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7gn.16xlarge,64,128,EBS-Only,,200,Up to 40,2.7013," $ 1,944.94 ",1.5154," $ 1,091.09 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5n.12xlarge,48,384,EBS-Only,50,,"9,500",2.418," $ 1,740.96 ",1.514," $ 1,090.08 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5d.18xlarge,72,144,2 x 900 NVMe SSD,,25,"19,000",2.34," $ 1,684.80 ",1.514," $ 1,090.08 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5b.12xlarge,48,384,EBS-Only,10,,"30,000",2.4180912," $ 1,741.03 ",1.5139354," $ 1,090.03 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5ad.16xlarge,64,256,4 x 600 NVMe SSD,,12,"9,500",2.261," $ 1,627.92 ",1.508," $ 1,085.76 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7i.12xlarge,48,384,EBS-Only,,18.75,15,2.14707," $ 1,545.89 ",1.50295," $ 1,082.12 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
x2gd.12xlarge,48,768,2x1425 NVMe SSD,,20,14.25,2.7664," $ 1,991.81 ",1.491," $ 1,073.52 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7i.16xlarge,64,256,EBS-Only,,25,20,2.21181," $ 1,592.50 ",1.48438," $ 1,068.75 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5n.18xlarge,72,192,EBS-Only,,100,"19,000",2.629," $ 1,892.88 ",1.475," $ 1,062.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5n.metal,72,192,EBS-Only,,100,"19,000",2.629," $ 1,892.88 ",1.475," $ 1,062.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5ad.12xlarge,48,384,2 x 900 NVMe SSD,10,,"6,780",2.135," $ 1,537.20 ",1.47," $ 1,058.40 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m4.16xlarge,64,256,EBS-only,25 Gigabit,,"10,000",2.1277," $ 1,531.94 ",1.4425," $ 1,038.60 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7a.16xlarge,64,128,EBS-Only,,25,20,2.2153," $ 1,595.02 ",1.43899," $ 1,036.07 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6i.12xlarge,48,384,EBS-Only,,18.75,15,2.04483," $ 1,472.28 ",1.43138," $ 1,030.59 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5.12xlarge,48,384,EBS-Only,10,,"9,500",2.045," $ 1,472.40 ",1.431," $ 1,030.32 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6id.16xlarge,64,128,2x1900 NVMe SSD,,25,20,2.17325," $ 1,564.74 ",1.41591," $ 1,019.46 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5.16xlarge,64,256,EBS Only,,20,"13,600",2.106," $ 1,516.32 ",1.414," $ 1,018.08 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6i.16xlarge,64,256,EBS-Only,,25,20,2.1065," $ 1,516.68 ",1.41371," $ 1,017.87 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
i4i.8xlarge,32,256,2 x 3750 AWS Nitro SSD,,18.75,10,1.995," $ 1,436.40 ",1.383, $ 995.76 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6in.16xlarge,64,128,EBS-Only,,100,50,2.45379," $ 1,766.73 ",1.37697, $ 991.42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6in.12xlarge,48,192,EBS-Only,,75,37.5,2.27558," $ 1,638.42 ",1.34262, $ 966.69 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5.18xlarge,72,144,EBS-Only,,25,"19,000",2.069," $ 1,489.68 ",1.34, $ 964.80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6idn.8xlarge,32,256,1x1900 NVMe SSD,,50,25,2.11396," $ 1,522.05 ",1.32628, $ 954.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5dn.12xlarge,48,192,2 x 900 NVMe SSD,,50,"9,500",2.226," $ 1,602.72 ",1.324, $ 953.28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6gd.16xlarge,64,256,2 x 1900 NVMe SSD,,25,"19,000",1.9666," $ 1,415.95 ",1.3129, $ 945.29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6gd.metal,64,256,2 x 1900 NVMe SSD,,25,"19,000",1.9666," $ 1,415.95 ",1.3129, $ 945.29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6id.12xlarge,48,192,2x1425 NVMe SSD,,18.75,15,1.94629," $ 1,401.33 ",1.30049, $ 936.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6gn.16xlarge,64,128,EBS-Only,,100,38,1.95437," $ 1,407.15 ",1.29243, $ 930.55 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6a.12xlarge,48,384,EBS-Only,,18.75,15,1.84035," $ 1,325.05 ",1.28824, $ 927.53 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6gd.12xlarge,48,384,2 x 1425 NVMe SSD,,20,"13,500",1.8774," $ 1,351.73 ",1.2857, $ 925.70 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r5a.12xlarge,48,384,EBS-Only,10,,"6,780",1.839," $ 1,324.08 ",1.284, $ 924.48 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7a.12xlarge,48,192,EBS-Only,,18.75,15,1.90769," $ 1,373.54 ",1.28028, $ 921.80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7gd.16xlarge,64,128,2 x 1900 NVMe SSD,,30,20,1.9559," $ 1,408.25 ",1.2743, $ 917.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m6a.16xlarge,64,256,EBS-Only,,25,20,1.89585," $ 1,365.01 ",1.27234, $ 916.08 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i3.8xlarge,32,244,4 x 1900 NVMe SSD,10,,1.84,1.839," $ 1,324.08 ",1.262, $ 908.64 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5a.16xlarge,64,256,EBS Only,,12,"9,500",1.88," $ 1,353.60 ",1.262, $ 908.64 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7i.16xlarge,64,128,EBS-Only,,25,20,1.9263," $ 1,386.94 ",1.25127, $ 900.91 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i4g.8xlarge,32,256,"2 x 3,750 GB = 7,500 GB",,18.75,10,1.79583," $ 1,293.00 ",1.24468, $ 896.17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m5d.12xlarge,48,192,2 x 900 NVMe SSD,,12,"9,500",1.854," $ 1,334.88 ",1.239, $ 892.08 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i3en.6xlarge,24,192,2 x 7500 NVMe SSD,,25,2,1.996," $ 1,437.12 ",1.234, $ 888.48 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r7g.12xlarge,48,384,EBS-Only,,22.5,15,1.7381," $ 1,251.43 ",1.2167, $ 876.02 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2.4xlarge,16,122,12 x 2000 HDD,High,,1.56,1.555," $ 1,119.60 ",1.213, $ 873.36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g3.8xlarge,32,244,,10,1.67,1.21,1.6702," $ 1,202.54 ",1.2126, $ 873.07 ,2,,,,,,,,,,,,,,,,,,,,,,,,16,,,
c5ad.16xlarge,64,128,2 x 1200 NVMe SSD,,20,"6,300",1.858," $ 1,337.76 ",1.208, $ 869.76 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m7g.16xlarge,64,256,EBS-Only,,30,20,1.7905," $ 1,289.16 ",1.2017, $ 865.22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
